student_id,name,branch,current_semester,section,avg_score,attendance_rate,marks_std_dev,total_absences,subject_count,consistency_score,improvement_rate
ECE20200001,Urmi Parmer,ECE,7,A,97.9,91.86,5.34,7,5,94.66,0.42
CSE20210002,Ayushman Sahni,CSE,6,C,60.5,75.47,8.99,22,5,91.01,-2.63
MECH20200003,Logan Venkataraman,MECH,8,B,61.55,80.84,8.21,17,5,91.79,-2.4
IT20220004,Sai Venkataraman,IT,3,C,46.56,59.27,8.52,36,6,91.48,4.02
ECE20210005,Aachal Palla,ECE,5,A,84.55,83.36,7.39,14,6,92.61,4.61
ECE20200006,Krisha Choudhury,ECE,7,A,66.35,88.43,9.05,10,6,90.95,-0.32
ECE20220007,Ekapad Devi,ECE,4,A,62.69,86.99,13.15,11,6,86.85,-4.13
MECH20230008,Ekantika Dube,MECH,1,A,76.1,98.9,6.63,0,6,93.37,-3.88
ECE20220009,Mitesh Bala,ECE,4,C,86.99,91.92,7.94,7,6,92.06,0.46
CSE20200010,Wyatt Bhatti,CSE,8,C,60.75,84.79,5.56,13,5,94.44,-3.36
CIVIL20210011,Ladli Patla,CIVIL,6,B,31.75,57.08,16.23,38,5,83.77,3.98
IT20210012,Janani Doctor,IT,6,A,65.29,83.79,12.65,14,6,87.35,-4.43
CIVIL20200013,Nitesh Balan,CIVIL,8,A,28.0,45.28,5.03,49,5,94.97,0.97
ECE20210014,Bhavani Khosla,ECE,6,C,68.61,84.44,14.89,14,5,85.11,-2.69
CIVIL20210015,Upma Edwin,CIVIL,5,B,84.17,94.82,2.69,4,6,97.31,-4.17
CIVIL20210016,Christopher Bajaj,CIVIL,5,A,30.56,43.02,14.0,51,6,86.0,-5.0
IT20210017,Harsh Mahajan,IT,6,B,68.02,83.69,6.55,14,5,93.45,1.22
CIVIL20210018,Gayathri Nayar,CIVIL,5,C,66.86,71.37,5.57,25,5,94.43,3.39
MECH20230019,Chavvi Mitra,MECH,2,B,62.41,65.17,14.45,31,5,85.55,1.6
CSE20230020,Kalpit Sur,CSE,1,C,97.19,98.57,7.79,1,5,92.21,-1.7
CIVIL20220021,Janani Jain,CIVIL,4,A,78.84,98.0,2.38,1,6,97.62,2.77
IT20210022,Wazir Hans,IT,6,C,50.44,63.78,12.33,32,6,87.67,3.97
IT20200023,Devansh Parsa,IT,8,A,87.89,99.66,5.64,0,5,94.36,3.52
MECH20200024,Anika Chopra,MECH,8,A,94.58,92.78,3.86,6,6,96.14,1.88
ECE20210025,Aachal Pillay,ECE,6,A,61.23,65.9,8.14,30,5,91.86,3.71
MECH20230026,Bhavya Tripathi,MECH,2,B,83.61,88.62,2.09,10,5,97.91,2.04
CIVIL20220027,Nakul Desai,CIVIL,4,B,30.84,39.83,19.43,54,6,80.57,3.31
IT20200028,Isaac Nigam,IT,7,C,90.77,90.49,3.77,8,6,96.23,0.19
CIVIL20200029,Indrajit Gola,CIVIL,7,C,89.52,85.39,5.41,13,5,94.59,1.44
CIVIL20230030,Jatin Sule,CIVIL,2,B,82.23,99.82,2.72,0,5,97.28,-1.2
ECE20220031,Geetika Kanda,ECE,3,B,86.3,88.13,3.38,10,5,96.62,3.61
MECH20230032,Udarsh Bora,MECH,2,B,83.89,87.2,7.77,11,6,92.23,-0.8
